dftb_energy,orca_energy
-230.4394601,-2824.9599099
-230.4473340,-2824.9679935
-230.4535402,-2824.9741035
-230.4572890,-2824.9774504
-230.4592814,-2824.9785204
-230.4607684,-2824.9783596
-230.4629675,-2824.9779833
-230.4661629,-2824.9783135
-230.4700408,-2824.9794934
-230.4743947,-2824.9813206
-230.4773650,-2824.9833848
-230.4788224,-2824.9851857
-230.4798187,-2824.9867449
-230.4806046,-2824.9878130
-230.4811580,-2824.9881235
-230.4816008,-2824.9875714
-230.4821321,-2824.9867916
-230.4825712,-2824.9860290
-230.4827409,-2824.9851224
-230.4816377,-2824.9839276
-230.4793722,-2824.9828190
-230.4760625,-2824.9824656
-230.4730664,-2824.9835643
-230.4716348,-2824.9860113
-230.4718451,-2824.9886685
-230.4722915,-2824.9902401
-230.4721698,-2824.9899689
-230.4706164,-2824.9876033
-230.4671259,-2824.9832342
-230.4623919,-2824.9775746
-230.4578129,-2824.9723651
-230.4556618,-2824.9693270
-230.4553076,-2824.9676994
-230.4530605,-2824.9649193
-230.4501161,-2824.9626301
-230.4507470,-2824.9630502
-230.4570455,-2824.9676563
-230.4660485,-2824.9750937
-230.4728819,-2824.9810394
-230.4755385,-2824.9825579
-230.4753614,-2824.9809119
-230.4748080,-2824.9788681
-230.4749408,-2824.9778944
-230.4762617,-2824.9776878
-230.4781251,-2824.9777008
-230.4790327,-2824.9775961
-230.4786711,-2824.9772646
-230.4778225,-2824.9769295
-230.4765052,-2824.9767432
-230.4745312,-2824.9761948
-230.4738113,-2824.9769601
-230.4704946,-2824.9742144
-230.4706607,-2824.9743130
-230.4721735,-2824.9750016
-230.4736568,-2824.9756223
-230.4749592,-2824.9763981
-230.4767156,-2824.9773937
-230.4791360,-2824.9783970
-230.4822244,-2824.9791619
-230.4849105,-2824.9794750
-230.4866742,-2824.9794150
-230.4877664,-2824.9793752
-230.4886446,-2824.9794128
-230.4897072,-2824.9795539
-230.4907256,-2824.9798558
-230.4915705,-2824.9802260
-230.4922162,-2824.9804695
-230.4927033,-2824.9805935
-230.4930796,-2824.9806371
-230.4934818,-2824.9807808
-230.4939172,-2824.9807138
-230.4941497,-2824.9806176
-230.4938361,-2824.9801973
-230.4927365,-2824.9795188
-230.4912274,-2824.9788979
-230.4896888,-2824.9786808
-230.4884010,-2824.9788104
-230.4873531,-2824.9789758
-230.4863864,-2824.9790006
-230.4856226,-2824.9784782
-230.4849769,-2824.9775363
-230.4843792,-2824.9766398
-230.4841578,-2824.9761375
-230.4845010,-2824.9761680
-230.4854898,-2824.9768944
-230.4869214,-2824.9781162
-230.4882350,-2824.9792871
-230.4889619,-2824.9799209
-230.4891353,-2824.9800427
-230.4892128,-2824.9795821
-230.4894932,-2824.9788960
-230.4897330,-2824.9783868
-230.4898290,-2824.9779228
-230.4895818,-2824.9774818
-230.4890172,-2824.9770521
-230.4883199,-2824.9769412
-230.4879620,-2824.9773337
-230.4886741,-2824.9785953
-230.4905485,-2824.9806510
-230.4925963,-2824.9828141
-230.4514333,-2824.9626293
-230.4567208,-2824.9635722
-230.4611927,-2824.9653108
-230.4646095,-2824.9682906
-230.4675465,-2824.9722234
-230.4702253,-2824.9758262
-230.4721882,-2824.9778411
-230.4736678,-2824.9777917
-230.4752323,-2824.9759438
-230.4774720,-2824.9735561
-230.4796083,-2824.9726996
-230.4809366,-2824.9743904
-230.4815787,-2824.9772545
-230.4817853,-2824.9800424
-230.4814200,-2824.9823145
-230.4808665,-2824.9836976
-230.4807337,-2824.9841767
-230.4806525,-2824.9838514
-230.4806009,-2824.9830015
-230.4806784,-2824.9821696
-230.4807891,-2824.9816695
-230.4806230,-2824.9818431
-230.4804275,-2824.9827103
-230.4807374,-2824.9839971
-230.4809366,-2824.9854473
-230.4811396,-2824.9869300
-230.4818812,-2824.9880232
-230.4827114,-2824.9884745
-230.4831911,-2824.9880931
-230.4830841,-2824.9869950
-230.4824199,-2824.9857650
-230.4813499,-2824.9851873
-230.4802725,-2824.9854071
-230.4797264,-2824.9857167
-230.4796784,-2824.9855979
-230.4793464,-2824.9852755
-230.4786305,-2824.9849555
-230.4773244,-2824.9844689
-230.4750146,-2824.9836957
-230.4720074,-2824.9827328
-230.4688490,-2824.9817350
-230.4660042,-2824.9809477
-230.4634324,-2824.9806102
-230.4614436,-2824.9805747
-230.4609787,-2824.9807791
